"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"B25037_001E","Estimate!!Median year structure built --!!Total:"
"B25037_001M","Margin of Error!!Median year structure built --!!Total:"
"B25037_002E","Estimate!!Median year structure built --!!Owner occupied"
"B25037_002M","Margin of Error!!Median year structure built --!!Owner occupied"
"B25037_003E","Estimate!!Median year structure built --!!Renter occupied"
"B25037_003M","Margin of Error!!Median year structure built --!!Renter occupied"
