"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"B25010_001E","Estimate!!Average household size --!!Total:"
"B25010_001M","Margin of Error!!Average household size --!!Total:"
"B25010_002E","Estimate!!Average household size --!!Total:!!Owner occupied"
"B25010_002M","Margin of Error!!Average household size --!!Total:!!Owner occupied"
"B25010_003E","Estimate!!Average household size --!!Total:!!Renter occupied"
"B25010_003M","Margin of Error!!Average household size --!!Total:!!Renter occupied"
