,AFFGEOID,count_x,count_y,count_1,count_2,count
151,1500000US060372145012,28,23,21,26,17
152,1500000US060372200002,28,28,18,19,21
153,1500000US060372427003,28,30,46,21,21
154,1500000US060371908012,28,30,23,17,20
155,1500000US060372060501,28,23,28,21,10
156,1500000US060372183001,27,16,18,19,28
157,1500000US060372404012,27,35,22,16,13
158,1500000US060371992012,27,19,27,18,8
159,1500000US060372404013,27,29,27,25,29
160,1500000US060371253201,27,41,25,34,21
161,1500000US060372060311,27,30,9,18,18
162,1500000US060371281022,27,16,25,21,31
163,1500000US060372113201,27,32,48,40,22
164,1500000US060372947013,27,28,33,19,23
165,1500000US060372395012,27,19,21,18,20
166,1500000US060372089031,27,20,34,31,23
167,1500000US060372118021,27,24,22,23,3
168,1500000US060372410012,27,24,16,16,13
169,1500000US060372421001,27,31,40,26,30
170,1500000US060371201082,27,30,34,27,38
171,1500000US060371241021,26,14,24,11,9
172,1500000US060372382002,26,32,36,47,33
173,1500000US060372349022,26,17,18,30,30
174,1500000US060371920012,26,30,25,25,12
175,1500000US060371345201,26,13,16,15,16
176,1500000US060372430001,26,19,20,19,17
177,1500000US060371915001,26,21,10,12,8
178,1500000US060372398021,26,21,12,21,26
179,1500000US060372971101,26,24,24,15,19
180,1500000US060372087201,26,29,17,8,8
181,1500000US060372212202,26,30,29,36,21
182,1500000US060371439012,26,18,11,15,10
183,1500000US060371133012,26,49,50,38,11
184,1500000US060371349041,26,22,34,20,13
185,1500000US060372404022,26,35,24,22,25
186,1500000US060372411201,26,13,19,11,12
187,1500000US060372325002,25,22,25,21,9
188,1500000US060371323003,25,17,14,10,17
189,1500000US060372382001,25,23,27,10,22
190,1500000US060372392022,25,24,16,24,12
191,1500000US060371043204,25,28,17,23,6
192,1500000US060372411204,25,39,32,20,11
193,1500000US060372400102,25,21,16,15,14
194,1500000US060372226003,25,17,23,23,24
195,1500000US060372400202,25,17,15,17,12
196,1500000US060372409001,25,20,27,26,5
197,1500000US060371902022,25,43,20,35,40
198,1500000US060371925102,24,13,15,12,16
199,1500000US060371916102,24,24,20,27,19
200,1500000US060372911102,24,25,29,16,14
201,1500000US060372734022,24,15,20,16,21
202,1500000US060372197002,24,24,18,21,15
203,1500000US060372346004,24,43,31,38,23
204,1500000US060372361002,24,30,19,24,18
205,1500000US060372696013,24,25,16,15,9
206,1500000US060379800141,24,11,11,14,5
207,1500000US060372292001,24,29,27,21,23
208,1500000US060372414002,24,36,39,25,17
209,1500000US060372962203,24,23,16,16,13
210,1500000US060372780012,24,17,14,26,6
211,1500000US060372124201,24,21,23,15,20
212,1500000US060372200001,24,20,19,12,2
213,1500000US060372287202,24,20,21,22,9
214,1500000US060372131001,24,24,13,11,15
215,1500000US060371233041,24,21,39,21,11
216,1500000US060372377202,24,29,31,26,28
217,1500000US060371064033,24,6,20,7,16
218,1500000US060372132022,24,25,29,22,10
219,1500000US060372400101,24,26,36,25,22
220,1500000US060372400201,24,25,17,23,15
221,1500000US060371831011,23,17,10,11,15
222,1500000US060372318003,23,14,10,16,33
223,1500000US060372966002,23,30,20,31,15
224,1500000US060379800081,23,21,18,24,16
225,1500000US060372410021,23,33,35,27,17
226,1500000US060372372021,23,16,16,13,17
227,1500000US060371920023,23,23,16,4,8
228,1500000US060372247003,23,35,28,20,10
229,1500000US060371200301,23,27,34,22,31
230,1500000US060371910003,23,14,24,15,8
231,1500000US060372947012,23,16,15,17,9
232,1500000US060372398024,23,23,24,16,14
233,1500000US060372121011,23,24,29,20,17
234,1500000US060372342003,23,16,19,3,10
235,1500000US060371351142,23,30,26,9,10
236,1500000US060371174051,23,19,11,17,12
237,1500000US060372044201,23,18,27,29,28
238,1500000US060372734024,23,21,25,18,3
239,1500000US060372382003,23,36,23,20,16
240,1500000US060372095201,23,24,22,18,14
241,1500000US060372373004,22,22,18,19,5
242,1500000US060371903012,22,14,18,15,5
243,1500000US060372407001,22,22,19,27,23
244,1500000US060371133211,22,9,11,13,7
245,1500000US060372652023,22,16,12,7,5
246,1500000US060371044011,22,10,11,7,5
247,1500000US060372393301,22,28,24,30,18
248,1500000US060372395023,22,25,37,12,11
249,1500000US060372049202,22,10,10,9,7
