"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"B25021_001E","Estimate!!Median number of rooms --!!Total:"
"B25021_001M","Margin of Error!!Median number of rooms --!!Total:"
"B25021_002E","Estimate!!Median number of rooms --!!Total:!!Owner occupied"
"B25021_002M","Margin of Error!!Median number of rooms --!!Total:!!Owner occupied"
"B25021_003E","Estimate!!Median number of rooms --!!Total:!!Renter occupied"
"B25021_003M","Margin of Error!!Median number of rooms --!!Total:!!Renter occupied"
